NCAAM Team Names (NCAA API)
Short,Full,SEO
"Alabama A&M","","alabama-am"
"App State","","appalachian-st"
"Belmont Abbey","","belmont-abbey"
"Bethesda (CA)","","bethesda-christian"
"Biblical Stud. (TX)","","biblical-stud-tx"
"Binghamton","","binghamton"
"Bluefield Univ.","","bluefield-col"
"Butler","","butler"
"Cal Poly","","cal-poly"
"CarolinaU","","piedmont-intl"
"Coppin St.","","coppin-st"
"Creighton","","creighton"
"Dallas","","dallas"
"Delaware St.","","delaware-st"
"Dickinson","","dickinson"
"East Texas A&M","","tex-am-commerce"
"Eastern Wash.","","eastern-wash"
"Elon","","elon"
"Fresno St.","","fresno-st"
"Georgia","","georgia"
"Indiana","","indiana"
"James Madison","","james-madison"
"La Salle","","la-salle"
"Lafayette","","lafayette"
"LaGrange","","lagrange"
"LIFE Pacific","","life-pacific"
"LMU (CA)","","loyola-marymount"
"LSU","","lsu"
"Lynchburg","","lynchburg"
"Marquette","","marquette"
"Mercer","","mercer"
"Middle Tenn.","","middle-tenn"
"Milligan","","milligan"
"Mississippi St.","","mississippi-st"
"Mississippi Val.","","mississippi-val"
"Montana St.","","montana-st"
"Montana","","montana"
"MUW","","muw"
"New Mexico","","new-mexico"
"Norfolk St.","","norfolk-st"
"North Ala.","","north-ala"
"North Dakota St.","","north-dakota-st"
"Northwest Indian","",""
"Ottawa (AZ)","","ottawa-az"
"Pacific Lutheran","","pacific-lutheran"
"Pacific","","pacific"
"Plattsburgh St.","","plattsburgh-st"
"Prairie View","","prairie-view"
"Presbyterian","","presbyterian"
"Queens (NC)","","queens-nc"
"Regent","","regent"
"Richmond","","richmond"
"Rider","","rider"
"RIT","","rochester-inst"
"Rutgers","","rutgers"
"South Dakota","","south-dakota"
"Southern Ind.","","southern-ind"
"Southern U.","","southern-u"
"Southern Va.","","southern-va"
"TAMU-San Antonio","","tamu-san-antonio"
"Tarleton St.","","tarleton-st"
"Temple","","temple"
"Texas St.","","texas-st"
"UC Davis","","uc-davis"
"UMES","","md-east-shore"
"USC Upstate","","usc-upstate"
"Utah Tech","","utah-tech"
"UTSA","","utsa"
"Vermont","","vermont"
"Wash. & Lee","","wash-lee"
