NCAAW Team Names (NCAA API)
Short,Full,SEO
"A&M-Corpus Christi","","am-corpus-chris"
"Alabama A&M","","alabama-am"
"Apprentice","","apprentice"
"BYU","","byu"
"Chicago St.","","chicago-st"
"Coastal Carolina","","coastal-caro"
"Delaware St.","","delaware-st"
"East Texas A&M","","tex-am-commerce"
"Fairfield","","fairfield"
"FDU","","fdu"
"Felician","","felician"
"Hampton","","hampton"
"Harris-Stowe","","harris-stowe"
"Hawaii","","hawaii"
"Iowa St.","","iowa-st"
"IU Indy","","iu-indy"
"Kansas City","","umkc"
"Kansas","","kansas"
"Kentucky St.","","kentucky-st"
"Lindenwood","","lindenwood-mo"
"LMU (CA)","","loyola-marymount"
"Longwood","","longwood"
"Morris","","morris"
"New Orleans","","new-orleans"
"North Florida","","north-florida"
"Northwest (WA)","","northwest-wa"
"Northwestern","","northwestern"
"Notre Dame","","notre-dame"
"Oakland","","oakland"
"Oklahoma St.","","oklahoma-st"
"Palm Beach Atl.","","palm-beach-atl"
"Portland St.","","portland-st"
"Randolph","","randolph"
"San Diego","","san-diego"
"San Francisco","","san-francisco"
"Seattle U","","seattle"
"South Carolina St.","","south-carolina-st"
"Southern U.","","southern-u"
"SUNY New Paltz","","suny-new-paltz"
"Talladega","","talladega"
"Texas A&M","","texas-am"
"Tulsa","","tulsa"
"UC Irvine","","uc-irvine"
"UMES","","md-east-shore"
"UNC Greensboro","","unc-greensboro"
"UNLV","","unlv"
"Utah Valley","","utah-valley"
"VCU","","vcu"
"Villanova","","villanova"
"Wagner","","wagner"
"Washington St.","","washington-st"
"Western Ky.","","western-ky"
"Winthrop","","winthrop"
"Wisconsin","","wisconsin"
